,loss,accuracy,val_loss,val_accuracy
0,0.9923508167266846,0.5657370686531067,0.8927426934242249,0.6969696879386902
1,0.6889338493347168,0.7450199127197266,0.6988947987556458,0.7727272510528564
2,0.4659494459629059,0.8605577945709229,0.5840865969657898,0.7878788113594055
3,0.4118783473968506,0.8525896668434143,0.48294445872306824,0.8181818127632141
4,0.2996836006641388,0.8804780840873718,0.4583010971546173,0.8333333134651184
5,0.2591383159160614,0.9003984332084656,0.4336889684200287,0.8181818127632141
6,0.20552876591682434,0.9482071995735168,0.3837502896785736,0.8787878751754761
7,0.22653895616531372,0.9163346886634827,0.3674044907093048,0.8484848737716675
8,0.19990773499011993,0.9203187227249146,0.42344602942466736,0.8636363744735718
9,0.17039991915225983,0.9482071995735168,0.3354671597480774,0.8939393758773804
10,0.16758008301258087,0.9322709441184998,0.35300227999687195,0.8939393758773804
11,0.16538402438163757,0.9402390718460083,0.3271803557872772,0.8939393758773804
12,0.11771757155656815,0.9641434550285339,0.2958429753780365,0.8939393758773804
13,0.10019758343696594,0.9721115827560425,0.33954596519470215,0.8939393758773804
14,0.11344130337238312,0.9641434550285339,0.26956477761268616,0.9090909361839294
15,0.09521348029375076,0.9681274890899658,0.29314175248146057,0.9090909361839294
16,0.06854593008756638,0.980079710483551,0.23727189004421234,0.939393937587738
17,0.04405059665441513,0.9960159659385681,0.22790133953094482,0.939393937587738
18,0.057664960622787476,0.9840637445449829,0.22670035064220428,0.939393937587738
19,0.038215309381484985,0.9960159659385681,0.2660122215747833,0.9090909361839294
20,0.045450255274772644,0.9880478382110596,0.23132112622261047,0.9242424368858337
21,0.042298126965761185,0.9880478382110596,0.2816843092441559,0.8939393758773804
22,0.0362604595720768,0.9960159659385681,0.21905726194381714,0.9242424368858337
23,0.0425870344042778,0.9880478382110596,0.3026025891304016,0.8939393758773804
24,0.03843311965465546,0.9880478382110596,0.24898642301559448,0.9242424368858337
25,0.02220805361866951,0.9960159659385681,0.2629551887512207,0.9090909361839294
26,0.019590355455875397,1.0,0.23370474576950073,0.939393937587738
27,0.026375705376267433,0.9960159659385681,0.25729990005493164,0.9090909361839294
