,loss,accuracy,val_loss,val_accuracy
0,1.4634335041046143,0.3625498116016388,1.1187223196029663,0.3030303120613098
1,0.8674539923667908,0.613545835018158,0.7419829964637756,0.6363636255264282
2,0.7037808895111084,0.6932271122932434,0.643458366394043,0.7272727489471436
3,0.6979549527168274,0.6852589845657349,0.5691247582435608,0.7575757503509521
4,0.6439416408538818,0.7091633677482605,0.5101938247680664,0.8636363744735718
5,0.5612829923629761,0.7131474018096924,0.4911882281303406,0.8484848737716675
6,0.5289769768714905,0.788844645023346,0.46013763546943665,0.8181818127632141
7,0.5105543732643127,0.788844645023346,0.4437446594238281,0.8484848737716675
8,0.5070998668670654,0.7729083895683289,0.4760647714138031,0.7878788113594055
9,0.49727174639701843,0.7768924236297607,0.4470502734184265,0.7878788113594055
10,0.5240931510925293,0.7490040063858032,0.46394237875938416,0.7727272510528564
11,0.47701945900917053,0.8286852836608887,0.4141647517681122,0.8333333134651184
12,0.4845128059387207,0.7928286790847778,0.3931848108768463,0.8484848737716675
13,0.45802807807922363,0.8406374454498291,0.4000277519226074,0.8636363744735718
14,0.45269685983657837,0.8167330622673035,0.40405160188674927,0.8030303120613098
15,0.42192885279655457,0.824701189994812,0.4091567397117615,0.8333333134651184
16,0.394430547952652,0.8605577945709229,0.4495285153388977,0.8030303120613098
17,0.3790843188762665,0.8565737009048462,0.4211595058441162,0.8333333134651184
